formula_pretty,energy_above_hull,Delta_R_mm,match_atoms,dop_element,matrix_element,dop_oxi,matrix_oxi,Delta_R_md,abs_Delta_R_md,abs_Delta_eln,coordination,name_maxr,name_mine,concentration,electrons_nuber,E_mine_UP,E_maxr_UP,calc_name_mine,calc_name_maxr,d_energy_dft,concentration_dft,bond_energy_dft
LiBr,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-976280_LiBr_Mg_Li_max_r,POSCAR_mp-976280_LiBr_Mg_Li_min_e,0.17,64.0,-48.89387893676758,-48.61313247680664,mp-976280_LiBr_Mg_Li_min_e_c4.1mm.1,mp-976280_LiBr_Mg_Li_max_r_c4.1mm.1,0.4890253299999969,0.05824071937548272,-0.2911619200000004
Li3GaN2,0.0,0.2,"['Li', 'Ga']",Sn,Ga,4.0,3.0,0.17,0.17,0.15,4,POSCAR_mp-3887_Li3GaN2_Sn_Ga_max_r,POSCAR_mp-3887_Li3GaN2_Sn_Ga_min_e,0.07,256.0,-455.8052062988281,-455.4817810058594,mp-3887_Li3GaN2_Sn_Ga_min_e_c4.1mm.1,mp-3887_Li3GaN2_Sn_Ga_max_r_c4.1mm.1,0.500861232499954,0.09416772619022887,-0.4043260600000167
LiH,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.05,0.05,0.33,6,POSCAR_mp-23703_LiH_Mg_Li_max_r,POSCAR_mp-23703_LiH_Mg_Li_min_e,0.03,64.0,-190.79000854492188,-190.7905120849609,mp-23703_LiH_Mg_Li_min_e_c6.1mm.1,mp-23703_LiH_Mg_Li_max_r_c6.1mm.1,0.5046515299999896,0.053182785104821315,-0.2092690500000174
Li3ScN2,0.0,0.21,"['Li', 'Sc']",Zr,Sc,4.0,3.0,-0.21,0.21,0.03,4,POSCAR_mp-542435_Li3ScN2_Zr_Sc_max_r,POSCAR_mp-542435_Li3ScN2_Zr_Sc_min_e,0.07,264.0,-549.0382690429688,-548.8905029296875,mp-542435_Li3ScN2_Zr_Sc_min_e_c4.1mm.1,mp-542435_Li3ScN2_Zr_Sc_max_r_c4.1mm.1,0.5541143187499458,0.06909390676044398,-0.17197005000002719
Li3ScN2,0.0,0.21,"['Li', 'Sc']",Hf,Sc,4.0,3.0,-0.22,0.22,0.06,4,POSCAR_mp-542435_Li3ScN2_Hf_Sc_max_r,POSCAR_mp-542435_Li3ScN2_Hf_Sc_min_e,0.07,256.0,-550.9518432617188,-550.8180541992188,mp-542435_Li3ScN2_Hf_Sc_min_e_c4.1mm.1,mp-542435_Li3ScN2_Hf_Sc_max_r_c4.1mm.1,0.5804566587498883,0.05928245580434018,-0.15825138000002426
LiF,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.05,0.05,0.33,6,POSCAR_mp-1138_LiF_Mg_Li_max_r,POSCAR_mp-1138_LiF_Mg_Li_min_e,0.03,256.0,-305.5814514160156,-305.4250793457031,mp-1138_LiF_Mg_Li_min_e_c6.1mm.1,mp-1138_LiF_Mg_Li_max_r_c6.1mm.1,0.5868236200000183,0.03298292642189238,-0.13953566999998657
Li3BN2,0.0,0.98,"['Li', 'B']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-5001_Li3BN2_Mg_Li_max_r,POSCAR_mp-5001_Li3BN2_Mg_Li_min_e,0.02,256.0,-543.114501953125,-542.3908081054688,mp-5001_Li3BN2_Mg_Li_min_e_c4.1mm.1,mp-5001_Li3BN2_Mg_Li_max_r_c4.1mm.1,0.5942059425001389,0.03159723342037556,-0.7817966699999488
Li8SiO6,0.0,0.56,"['Li', 'Si']",Mn,Si,5.0,4.0,0.27,0.27,0.35,4,POSCAR_mp-28549_Li8SiO6_Mn_Si_max_r,POSCAR_mp-28549_Li8SiO6_Mn_Si_min_e,0.14,386.0,-652.1326293945312,-652.00830078125,mp-28549_Li8SiO6_Mn_Si_min_e_c4.1mm.1,mp-28549_Li8SiO6_Mn_Si_max_r_c4.1mm.1,0.6139390224999772,0.07968354703687405,-0.37408969000000525
LiGdO2,0.04,0.37,"['Li', 'Gd']",Hf,Gd,4.0,3.0,-0.24,0.24,0.1,6,POSCAR_mp-754204_LiGdO2_Hf_Gd_max_r,POSCAR_mp-754204_LiGdO2_Hf_Gd_min_e,0.07,481.0,-589.1988525390625,-588.9659423828125,mp-754204_LiGdO2_Hf_Gd_min_e_c6.1mm.1,mp-754204_LiGdO2_Hf_Gd_max_r_c6.1mm.1,0.6265190900000022,0.026185411170924745,-0.27876982999998745
Li3GaN2,0.0,0.2,"['Li', 'Ga']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-3887_Li3GaN2_Mg_Li_max_r,POSCAR_mp-3887_Li3GaN2_Mg_Li_min_e,0.02,256.0,-455.88519287109375,-455.5144348144531,mp-3887_Li3GaN2_Mg_Li_min_e_c4.1mm.1,mp-3887_Li3GaN2_Mg_Li_max_r_c4.1mm.1,0.6313683687500351,0.02545746318788055,-0.4595103699999754
LiF,0.02,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-1185301_LiF_Mg_Li_max_r,POSCAR_mp-1185301_LiF_Mg_Li_min_e,0.02,384.0,-457.6363830566406,-457.1355285644531,mp-1185301_LiF_Mg_Li_min_e_c4.1mm.1,mp-1185301_LiF_Mg_Li_max_r_c4.1mm.1,0.6422350999999971,0.023898848526807268,-0.5355538500000421
LiCl,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,POSCAR_mp-1185319_LiCl_Mg_Li_max_r,POSCAR_mp-1185319_LiCl_Mg_Li_min_e,0.05,192.0,-172.98297119140625,-172.58590698242188,mp-1185319_LiCl_Mg_Li_min_e_c4.1mm.1,mp-1185319_LiCl_Mg_Li_max_r_c4.1mm.1,0.6442666099999883,0.023618237153117463,-0.4778514600000108
