material_id,formula_pretty,energy_above_hull,Delta_R_mm,match_atoms,dop_element,matrix_element,dop_oxi,matrix_oxi,Delta_R_md,abs_Delta_R_md,abs_Delta_eln,coordination,name,electrons,C_sc,E_maxr_mlip,E_mine_mlip,e3d,formation_dft,formation2_dft,C_T1000,C_T300,bonding_dft,effective_e3d_dft,formation_mlip,bonding_mlip
mp-3887,Li3GaN2,0.0,0.2,"['Li', 'Ga']",Co,Ga,4.0,3.0,-0.15,0.15,0.07,4,mp-3887_Li3GaN2_Co_Ga_coord_4,261,0.07,-457.9333801269531,-457.8909912109375,0.155,1.923,1.937,2.226884898369087e-05,1.6651347114027233e-05,0.015,0.17,1.117,-0.042
mp-3887,Li3GaN2,0.0,0.2,"['Li', 'Ga']",Cr,Ga,4.0,3.0,-0.13,0.13,0.15,4,mp-3887_Li3GaN2_Cr_Ga_coord_4,258,0.07,-462.96197509765625,-462.9845581054688,0.155,1.612,1.678,0.00010038399164822125,2.793646937653902e-05,0.066,0.221,1.023,0.023
mp-3887,Li3GaN2,0.0,0.2,"['Li', 'Ga']",Ti,Ga,4.0,3.0,-0.11,0.11,0.27,4,mp-3887_Li3GaN2_Ti_Ga_coord_4,256,0.07,-463.7278747558594,-463.8689575195313,0.155,0.208,0.386,0.18362128021944693,0.005831434200960661,0.178,0.333,0.077,0.141
mp-542435,Li3ScN2,0.0,0.21,"['Li', 'Sc']",Hf,Sc,4.0,3.0,-0.22,0.22,0.06,4,mp-542435_Li3ScN2_Hf_Sc_coord_4,256,0.07,-550.8180541992188,-550.9518432617188,0.122,0.58,0.739,0.023583558497556213,0.001082371477726046,0.159,0.281,0.346,0.134
mp-542435,Li3ScN2,0.0,0.21,"['Li', 'Sc']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-542435_Li3ScN2_Mg_Li_coord_4,256,0.02,-545.9611206054688,-546.2553100585938,0.122,0.97,1.316,0.0004754909110380561,5.821200451809342e-07,0.346,0.468,0.8,0.294
mp-542435,Li3ScN2,0.0,0.21,"['Li', 'Sc']",Zr,Sc,4.0,3.0,-0.21,0.21,0.03,4,mp-542435_Li3ScN2_Zr_Sc_coord_4,264,0.07,-548.8905029296875,-549.0382690429688,0.122,0.555,0.727,0.025287677892519175,0.0009021124529051908,0.172,0.294,0.382,0.148
mp-7535,Li5AlO4,0.0,0.34,"['Li', 'Al']",Ge,Al,4.0,3.0,0.0,0.0,0.4,4,mp-7535_Li5AlO4_Ge_Al_coord_4,512,0.07,-876.1815795898438,-877.1165161132812,0.626,1.434,2.378,2.21366191380109e-06,2.560327203868895e-14,0.943,1.569,1.379,0.935
mp-7535,Li5AlO4,0.0,0.34,"['Li', 'Al']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-7535_Li5AlO4_Mg_Li_coord_4,512,0.01,-878.8250732421875,-879.800048828125,0.626,1.616,2.619,2.43842286840174e-07,8.64735039041039e-16,1.004,1.63,1.571,0.975
mp-7535,Li5AlO4,0.0,0.34,"['Li', 'Al']",Mn,Al,4.0,3.0,0.0,0.0,0.06,4,mp-7535_Li5AlO4_Mn_Al_coord_4,515,0.07,-877.1702270507812,-877.9620361328125,0.626,2.062,03.07,3.96126132461237e-08,1.2999938242629232e-16,1.008,1.634,1.804,0.792
mp-7535,Li5AlO4,0.0,0.34,"['Li', 'Al']",Co,Al,4.0,3.0,0.03,0.03,0.27,4,mp-7535_Li5AlO4_Co_Al_coord_4,517,0.07,-873.587158203125,-874.2679443359375,0.626,1.782,2.667,4.124730373651279e-07,1.468047833732109e-14,0.885,1.511,0.84,0.681
mp-7535,Li5AlO4,0.0,0.34,"['Li', 'Al']",Cr,Al,4.0,3.0,0.05,0.05,0.05,4,mp-7535_Li5AlO4_Cr_Al_coord_4,514,0.07,-878.0576782226562,-878.97119140625,0.626,1.321,2.26,4.395998214868377e-06,5.4942437639414905e-14,0.939,1.565,1.483,0.914
mp-7535,Li5AlO4,0.0,0.34,"['Li', 'Al']",Ti,Al,4.0,3.0,0.08,0.08,0.07,4,mp-7535_Li5AlO4_Ti_Al_coord_4,512,0.07,-882.8831176757812,-883.8800659179688,0.626,1.536,2.508,1.039598067966446e-06,6.988532175011798e-15,0.971,1.597,1.601,0.997
mp-1189725,Li2HN,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.13,0.13,0.33,5,mp-1189725_Li2HN_Mg_Li_coord_5,192,0.02,-416.95257568359375,-416.8099670410156,0.124,1.033,0.939,0.0042565243772954495,0.0042565243772954495,-0.094,0.03,0.963,-0.143
mp-1189725,Li2HN,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-1189725_Li2HN_Mg_Li_coord_4,192,0.02,-417.1187133789063,-417.3826599121094,0.124,0.459,0.806,0.009223077502122904,1.1074640387905232e-05,0.347,0.471,0.39,0.264
mp-755225,Li8ZrO6,0.0,0.05,"['Li', 'Zr']",Nb,Zr,5.0,4.0,-0.11,0.11,0.27,6,mp-755225_Li8ZrO6_Nb_Zr_coord_6,672,0.09,-1030.777587890625,-1031.0111083984375,0.525,01.06,1.242,0.0020679252651079174,6.0774440453114686e-05,0.182,0.707,0.411,0.234
mp-755225,Li8ZrO6,0.0,0.05,"['Li', 'Zr']",V,Zr,5.0,4.0,-0.25,0.25,0.3,6,mp-755225_Li8ZrO6_V_Zr_coord_6,664,0.09,-1025.3988037109375,-1025.518310546875,0.525,2.509,2.655,5.59442133016095e-07,3.303219631747405e-08,0.146,0.671,1.294,0.12
mp-755225,Li8ZrO6,0.0,0.05,"['Li', 'Zr']",Ta,Zr,5.0,4.0,-0.11,0.11,0.17,6,mp-755225_Li8ZrO6_Ta_Zr_coord_6,664,0.09,-1033.82373046875,-1034.054931640625,0.525,0.964,1.139,0.0037636266479471226,0.00012424874848492623,0.176,0.701,0.387,0.231
mp-5001,Li3BN2,0.0,0.98,"['Li', 'B']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-5001_Li3BN2_Mg_Li_coord_4,256,0.02,-542.3907470703125,-543.114501953125,0.535,0.593,1.373,0.00034136504518434996,9.2961358482989e-11,0.78,1.315,0.488,0.724
mp-570935,LiI,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-570935_LiI_Mg_Li_coord_4,64,0.17,-42.56889724731445,-42.80728149414063,0.459,0.372,0.615,0.02799914246995835,0.00024745951480242986,0.244,0.703,0.291,0.238
mp-15960,Li5AlO4,0.0,0.34,"['Li', 'Al']",Ge,Al,4.0,3.0,0.0,0.0,0.4,4,mp-15960_Li5AlO4_Ge_Al_coord_4,256,0.14,-435.1890258789063,-435.8708190917969,0.582,0.775,1.454,0.0004766303019633662,9.014072257889298e-10,0.68,1.262,0.718,0.682
mp-15960,Li5AlO4,0.0,0.34,"['Li', 'Al']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-15960_Li5AlO4_Mg_Li_coord_4,256,0.03,-437.65667724609375,-438.1613159179688,0.582,1.412,1.933,1.3159428066245525e-05,5.422622812296945e-10,0.521,1.103,1.303,0.505
mp-15960,Li5AlO4,0.0,0.34,"['Li', 'Al']",Mn,Al,4.0,3.0,0.0,0.0,0.06,4,mp-15960_Li5AlO4_Mn_Al_coord_4,259,0.14,-436.1493225097656,-436.6548156738281,0.582,1.394,2.037,1.6074051414006447e-05,6.22697968363468e-11,0.643,1.225,1.205,0.505
mp-15960,Li5AlO4,0.0,0.34,"['Li', 'Al']",Co,Al,4.0,3.0,0.03,0.03,0.27,4,mp-15960_Li5AlO4_Co_Al_coord_4,261,0.14,-432.36322021484375,-432.7995910644531,0.582,1.128,1.689,0.00012156657709325957,2.3074068726845e-09,0.561,1.143,0.402,0.436
mp-15960,Li5AlO4,0.0,0.34,"['Li', 'Al']",Cr,Al,4.0,3.0,0.05,0.05,0.05,4,mp-15960_Li5AlO4_Cr_Al_coord_4,258,0.14,-437.09710693359375,-437.7552795410156,0.582,0.657,1.278,0.0013260991690106176,8.022486081400245e-09,0.62,1.202,0.793,0.658
mp-15960,Li5AlO4,0.0,0.34,"['Li', 'Al']",Ti,Al,4.0,3.0,0.08,0.08,0.07,4,mp-15960_Li5AlO4_Ti_Al_coord_4,256,0.14,-441.9936218261719,-442.7429809570313,0.582,0.776,1.482,0.00040502566862287017,4.6279790093971455e-10,0.706,1.288,0.832,0.749
mp-29463,LiBeN,0.0,0.73,"['Li', 'Be']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-29463_LiBeN_Mg_Li_coord_4,256,0.03,-530.2911987304688,-530.5731201171875,0.576,1.311,1.732,4.234045940830523e-05,1.211668788408766e-08,0.421,0.997,0.834,0.282
mp-22905,LiCl,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.05,0.05,0.33,6,mp-22905_LiCl_Mg_Li_coord_6,256,0.03,-231.52392578125,-231.73666381835932,0.643,1.9,2.118,4.48867280778273e-06,6.566106599550205e-08,0.218,0.861,1.137,0.213
mp-27275,Li3BO3,0.0,0.98,"['Li', 'B']",Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-27275_Li3BO3_Mg_Li_coord_4,288,0.03,-512.0191040039062,-512.4566040039062,0.378,0.772,1.245,0.0007184804279112417,7.652419170025186e-08,0.472,0.85,0.624,0.438
mp-1185319,LiCl,0.0,-1.0,no,Mg,Li,2.0,1.0,-0.03,0.03,0.33,4,mp-1185319_LiCl_Mg_Li_coord_4,192,0.05,-172.58590698242188,-172.98297119140625,0.51,0.645,1.123,0.0014603636959893047,1.3846674355138199e-07,0.478,0.988,0.681,0.397
mp-569782,Sr2LiCBr3N2,0.0,0.36,"['Sr', 'Li']",Mg,Li,2.0,1.0,-0.05,0.05,0.33,6,mp-569782_Sr2LiCBr3N2_Mg_Li_coord_6,896,0.07,-782.6055908203125,-782.64501953125,0.276,0.672,0.72,0.015206284059065852,0.005998300680605824,0.048,0.324,0.869,0.039
mp-569782,Sr2LiCBr3N2,0.0,0.36,"['Sr', 'Li']",La,Sr,3.0,2.0,-0.13,0.13,0.15,6,mp-569782_Sr2LiCBr3N2_La_Sr_coord_6,896,0.03,-787.1564331054688,-787.2032470703125,0.276,-0.191,-0.139,1.0,0.3650386874566851,0.052,0.328,-0.091,0.047
mp-569782,Sr2LiCBr3N2,0.0,0.36,"['Sr', 'Li']",Y,Sr,3.0,2.0,-0.24,0.24,0.27,6,mp-569782_Sr2LiCBr3N2_Y_Sr_coord_6,896,0.03,-788.2237548828125,-788.2479248046875,0.276,0.421,0.45,0.05167130606026932,0.029455690435798623,0.029,0.305,0.488,0.024
