surface,energy (J/m²),energy (eV/Å²),N_at,area (Å²)
111.0,0.5255419521110716,0.032801749941398256,24,26.74745117329112
111.1,0.7512963420216117,0.0468922312365117,24,26.74745117329112
110.0,0.4424634432881648,0.02761639706715751,24,25.487007863914645
101.0,0.6261632569012022,0.03908203806158533,16,16.803802199960387
101.1,0.6003248432611753,0.03746933106512569,16,16.803802199960387
101.2,0.5755412072049892,0.03592245810990666,16,16.803802199960387
101.3,0.6004412325118059,0.037476595511055685,16,16.803802199960387
100.0,0.4343668861865977,0.02711104970075787,16,14.714930987369511
100.1,1.2952671934535296,0.08084422264729096,16,14.714930987369511
001.0,0.5639316594283498,0.03519784710297878,8,8.114097264165977
001.1,5.1543691120839465,0.32171042871285693,8,8.114097264165977
