surface,energy,formula,area
111.0,-21.968338012695312,Li12,20.488204059085508
110.0,-18.58045196533203,Li10,16.728548563592877
100.0,-11.008984565734863,Li6,11.828870128725002
221.0,-36.746952056884766,Li20,35.48661038617501
211.0,-59.25416946411133,Li32,57.94939209805246
210.0,-29.60728645324707,Li16,26.450157704845793
