surface,energy,formula,area
111.0,-113.81207275390625,F12Li12,26.74745117329112
111.1,-113.05830383300781,F12Li12,26.74745117329112
110.0,-114.15909576416016,F12Li12,25.487007863914645
101.0,-75.7310791015625,F8Li8,16.803802199960387
101.1,-75.78528594970703,F8Li8,16.803802199960387
101.2,-75.83724975585938,F8Li8,16.803802199960387
101.3,-75.78501892089844,F8Li8,16.803802199960387
100.0,-76.24665832519531,F8Li8,14.714930987369511
100.1,-74.66529846191406,F8Li8,14.714930987369511
001.0,-37.95106887817383,F4Li4,8.114097264165977
001.1,-33.30148696899414,F4Li4,8.114097264165977
