Substrate,Film,Substrate Miller,Film Miller,"Misfit, %",Termination,n_at,Slab
,,(012),(001),"2.0, 0.0","('O2_P-1_2', 'O2_P2_1/m_2')",320.0,LiCoO2_Li2SO4_012_001_320at_O2_P-1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('O2_P-1_2', 'O2_P2_1/m_2')",364.0,LiCoO2_Li2SO4_012_001_364at_O2_P-1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('O2_P-1_2', 'O2_P2_1/m_2')",380.0,LiCoO2_Li2SO4_012_001_380at_O2_P-1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('O2_P-1_2', 'O2_P2_1/m_2')",396.0,LiCoO2_Li2SO4_012_001_396at_O2_P-1_2_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO2_P1_4', 'O2_P2_1/m_2')",76.0,LiCoO2_Li2SO4_012_001_76at_LiSO2_P1_4_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO2_P1_4', 'O2_P2_1/m_2')",152.0,LiCoO2_Li2SO4_012_001_152at_LiSO2_P1_4_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO2_P1_4', 'O2_P2_1/m_2')",228.0,LiCoO2_Li2SO4_012_001_228at_LiSO2_P1_4_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO2_P1_4', 'O2_P2_1/m_2')",304.0,LiCoO2_Li2SO4_012_001_304at_LiSO2_P1_4_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO2_P1_4', 'O2_P2_1/m_2')",320.0,LiCoO2_Li2SO4_012_001_320at_LiSO2_P1_4_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO2_P1_4', 'O2_P2_1/m_2')",364.0,LiCoO2_Li2SO4_012_001_364at_LiSO2_P1_4_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO2_P1_4', 'O2_P2_1/m_2')",380.0,LiCoO2_Li2SO4_012_001_380at_LiSO2_P1_4_O2_P2_1m_2
,,(012),(001),"2.0, 0.0","('LiSO2_P1_4', 'O2_P2_1/m_2')",396.0,LiCoO2_Li2SO4_012_001_396at_LiSO2_P1_4_O2_P2_1m_2
